,AD1,RX1
2021-10-18,634.974610427272,464.07364203500373
2021-10-19,610.1837982865283,461.1313079266707
2021-10-20,594.3795518462179,442.75223607445855
2021-10-21,664.2769088142934,413.0602371069893
2021-10-22,678.4152852662268,406.13678299098916
2021-10-25,736.3699052598121,414.9933184472028
2021-10-26,793.2311565791039,420.62195498808086
2021-10-27,791.8109168171335,466.74211995488946
2021-10-28,784.5942577538385,469.8356712129057
2021-10-29,778.091405801823,513.124506205225
2021-11-01,948.9112364917256,516.5734194075126
2021-11-02,969.1450936193072,523.8280348231341
2021-11-03,958.0651129532866,519.1440425704318
2021-11-04,965.3050958724857,520.6290476499202
2021-11-05,974.3390268221423,525.3068866111737
2021-11-08,971.0980022097802,521.2944584430529
2021-11-09,952.1948050972421,518.5757207460199
2021-11-10,915.8069810423135,521.0297522214929
2021-11-11,915.9255515625306,530.2052836021821
2021-11-12,917.1835314320277,541.0596580196983
2021-11-15,972.4812840936489,533.7158411912753
2021-11-16,990.078497082421,534.0672042077041
2021-11-17,989.309005161026,510.4197740960363
2021-11-18,1024.3443147352314,536.6352906980418
2021-11-19,1018.0299767992334,493.4320725531192
2021-11-22,1017.3954589057417,492.1989543746903
2021-11-23,1052.6576551334556,483.5792694600031
2021-11-24,1057.402392883978,480.6073365568198
2021-11-25,986.2767242296286,529.3938544848513
2021-11-26,943.7759521140869,527.1965185436845
2021-11-29,931.6186505816454,525.6071145844434
2021-11-30,915.1464255654729,533.2004441728726
