Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,no_days,Standard Cost,Instrument_Weights,Exchange rate,assetClass
06/09/1994,103.8438,104.125,103.5313,103.6875,80955,155751,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103688,104.75,103.6875,0.4613184520195618,2525,,0.002,,1,rates
07/09/1994,103.875,103.875,103.3438,103.4688,70417,172104,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103469,104.5313,103.4688,0.4553404468164938,2526,,0.002,,1,rates
08/09/1994,103.5625,103.6875,103.375,103.4688,55976,181715,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103469,104.5313,103.4688,0.44852910720156325,2527,,0.002,,1,rates
09/09/1994,103.5938,103.5938,102.375,102.4688,115182,193291,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,102469,103.5625,102.4688,0.570900080288736,2528,,0.002,,1,rates
12/09/1994,102.5313,102.625,102.3438,102.375,54716,197522,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,102375,103.4375,102.375,0.6744514133281492,2529,,0.002,,1,rates
13/09/1994,102.4375,102.8125,102.1563,102.5313,86866,203731,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,102531,103.5625,102.5313,0.7435580463826126,2530,,0.002,,1,rates
14/09/1994,102.6875,102.8438,102.4688,102.7813,56662,207861,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,102781,103.8125,102.7813,0.7852426480226675,2531,,0.002,,1,rates
15/09/1994,102.8125,103.2188,102.7188,103.0938,60591,214682,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103094,104.125,103.0938,0.8026314603064391,2532,,0.002,,1,rates
16/09/1994,103.0625,103.1563,101.8125,101.9375,127696,225768,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,101938,102.9688,101.9375,0.8984208458587932,2533,,0.002,,1,rates
19/09/1994,102.0938,102.2188,101.9688,102.1875,60543,236474,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,102188,103.2188,102.1875,0.9590926786675082,2534,,0.002,,1,rates
20/09/1994,101.9063,102.1563,101.5938,101.9688,105778,238209,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,101969,103,101.9688,0.9981729849781861,2535,,0.002,,1,rates
21/09/1994,102,102.1563,101.5625,101.6875,125915,255227,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,101688,102.75,101.6875,1.0287381710653605,2536,,0.002,,1,rates
22/09/1994,101.75,101.9063,101.625,101.8125,74418,252154,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,101813,101.8125,100.9375,1.0744939097579311,2537,,0.002,,1,rates
23/09/1994,102,102.0313,101.5625,101.75,60373,258897,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,101750,101.75,100.875,1.109869326770889,2538,,0.002,,1,rates
26/09/1994,101.75,101.9688,101.6563,101.7188,34145,256544,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,101719,101.7188,100.875,1.1458019460652218,2539,,0.002,,1,rates
27/09/1994,101.75,101.8125,101.375,101.4688,71274,259283,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,101469,101.4688,100.625,1.1775483405817473,2540,,0.002,,1,rates
28/09/1994,101.625,101.9688,101.4375,101.7188,81325,263265,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,101719,101.7188,100.875,1.1532872630327051,2541,,0.002,,1,rates
