Date,Open,High,Low,Close
2016-01-01,36.81,37.79,36.22,37.04
2016-01-08,33.83,49.3,31.29,40.06
2016-01-15,44.85,51.8,43.0,51.06
2016-02-05,31.37,46.15,29.57,44.78
2016-02-12,48.9,51.73,39.26,51.68
2016-03-04,29.75,35.32,29.4,34.57
2016-03-11,44.92,49.41,39.19,44.66
2016-04-01,37.6,38.39,36.33,36.76
2016-04-08,32.71,49.3,31.53,41.93
2016-04-15,48.65,49.26,43.57,44.07
2016-05-06,36.9,46.07,30.63,44.32
2016-05-13,49.11,52.42,41.06,51.79
2016-06-03,36.18,36.39,33.77,33.97
2016-06-10,36.52,50.63,36.43,50.44
2016-06-17,50.97,51.6,50.28,50.93
2016-07-01,34.09,34.26,32.1,33.27
2016-07-08,36.2,50.53,36.09,45.14
2016-07-15,44.85,51.2,44.11,49.77
2016-08-05,34.5,41.03,29.57,39.72
2016-08-12,50.41,51.62,41.81,50.84
2016-09-02,30.17,30.61,27.74,27.94
2016-09-09,38.24,51.67,38.15,45.88
2016-09-16,45.45,52.6,43.75,51.5
2016-10-07,30.22,51.38,29.43,49.07
2016-10-14,43.37,52.16,42.17,44.66
2016-11-04,34.11,42.03,28.74,40.36
2016-11-11,45.3,52.01,41.85,43.41
2016-12-02,32.24,33.3,29.78,26.21
2016-12-09,41.77,47.73,41.47,46.29
2016-12-16,51.31,55.44,50.36,52.83
2017-01-06,52.76,54.44,47.9,48.36
2017-01-13,50.21,58.88,46.56,58.36
2017-02-03,53.87,54.34,52.54,52.61
2017-02-10,48.78,51.71,46.74,50.58
2017-02-17,54.28,54.84,53.99,54.54
2017-03-03,54.2,55.24,52.11,53.33
2017-03-10,50.69,50.83,45.92,50.42
2017-03-17,54.73,55.76,54.4,55.64
2017-04-07,52.49,53.43,45.29,47.07
2017-04-14,48.95,58.34,46.56,57.47
