date,asset,y,p_up,signal_up,position,ret_fwd_1w,strat_ret,turnover
2016-10-22,ndx,0.0,0.591642228739003,1,0.0,-0.0302002459635549,-0.0,0.0
2016-10-22,dax,0.0,0.591642228739003,1,0.0,-0.0408612786422082,-0.0,0.0
2016-10-22,sx5e,0.0,0.6379310344827587,1,0.16553227463415493,-0.0405002533092579,-0.006704099053540921,0.16553227463415493
2016-10-29,spx,1.0,0.5878542510121457,1,0.0,0.0380159027038433,0.0,0.0
2016-10-29,ndx,1.0,0.5878542510121457,1,0.0,0.0196311093754693,0.0,0.0
2016-10-29,dax,1.0,0.5878542510121457,1,0.0,0.0398493829398791,0.0,0.0
2016-10-29,sx5e,1.0,0.5878542510121457,1,0.0,0.0255505951877286,0.0,0.16553227463415493
2016-11-05,spx,1.0,0.5917926565874733,1,0.0,0.0080620942964726,0.0,0.0
2016-11-05,ndx,1.0,0.5917926565874733,1,0.0,0.0118035753743199,0.0,0.0
2016-11-05,dax,0.0,0.5917926565874733,1,0.0,-0.0003177742677835,-0.0,0.0
2016-11-05,sx5e,0.0,0.5917926565874733,1,0.0,-0.0030329832806383,-0.0,0.0
2016-11-12,spx,1.0,0.5910987482614745,1,0.0,0.014414042806728,0.0,0.0
2016-11-12,ndx,1.0,0.5910987482614745,1,0.0,0.0128909077295531,0.0,0.0
2016-11-12,dax,1.0,0.5910987482614745,1,0.0,0.0032547053042977,0.0,0.0
2016-11-12,sx5e,1.0,0.5910987482614745,1,0.0,0.0091200100634594,0.0,0.0
2016-11-19,spx,0.0,0.5132924335378322,0,-0.08117245892615983,-0.009668601893058,0.0007848241900376417,0.08117245892615983
2016-11-19,ndx,0.0,0.5132924335378322,0,0.0,-0.026827405226262,-0.0,0.0
2016-11-19,dax,0.0,0.5930888575458392,1,0.0,-0.0173768864604781,-0.0,0.0
2016-11-19,sx5e,0.0,0.5448561477378413,0,0.0,-0.0109074328003726,-0.0,0.0
2016-11-26,spx,1.0,0.5,0,-0.1042741903201041,0.0308309952325556,-0.0032148770646377245,0.023101731393944266
2016-11-26,ndx,1.0,0.5909722222222223,1,0.0,0.0330275964948927,0.0,0.0
2016-11-26,dax,1.0,0.5274725274725276,0,0.0,0.0656574735930981,0.0,0.0
2016-11-26,sx5e,1.0,0.5909722222222223,1,0.0,0.0604982206405693,0.0,0.0
2016-12-03,spx,0.0,0.4,0,-0.31913162660177935,-0.0006461520758741,0.00020620756300581786,0.21485743628167525
2016-12-03,ndx,1.0,0.34782608695652173,0,-0.29133010776251517,0.0038726281174044,-0.0011282131667675701,0.29133010776251517
2016-12-03,dax,1.0,0.453125,0,-0.09250276663718006,0.0178852746832947,-0.0016544373902706742,0.09250276663718006
2016-12-03,sx5e,1.0,0.30952380952380953,0,-0.2753735460873102,0.0192960838644706,-0.005313631039357398,0.2753735460873102
2016-12-10,spx,1.0,0.5135746606334841,0,-0.0926923691858339,0.0025331367052392,-0.00023480244268021884,0.22643925741594545
2016-12-10,ndx,1.0,0.5135746606334841,0,0.0,0.0051191692133654,0.0,0.29133010776251517
2016-12-10,dax,1.0,0.5926193921852387,1,0.0,0.0040266537823099,0.0,0.09250276663718006
2016-12-10,sx5e,1.0,0.5926193921852387,1,0.0,0.004519458524073,0.0,0.2753735460873102
2016-12-17,spx,0.0,0.4635036496350365,0,-0.19380205677237825,-0.0110257576895383,0.0021368145177063876,0.10110968758654434
2016-12-17,ndx,0.0,0.4635036496350365,0,-0.13411740428429023,-0.0154655244310752,0.00207419599259108,0.13411740428429023
2016-12-17,dax,1.0,0.5940246045694202,1,0.0,0.0027187939140238,0.0,0.0
2016-12-17,sx5e,1.0,0.5295238095238095,0,0.0,0.0050550249391412,0.0,0.0
2016-12-24,spx,1.0,0.5335120643431636,0,0.0,0.0170401504357187,0.0,0.19380205677237825
2016-12-24,ndx,1.0,0.5335120643431636,0,0.0,0.0294965478388524,0.0,0.13411740428429023
2016-12-24,dax,1.0,0.5335120643431636,0,0.0,0.010273441650858,0.0,0.0
2016-12-24,sx5e,1.0,0.5335120643431636,0,0.0,0.0093146372001993,0.0,0.0
2016-12-31,spx,0.0,0.37254901960784315,0,-0.4497021297474163,-0.0010276770107775,0.00046214854043910027,0.4497021297474163
2016-12-31,ndx,1.0,0.45263157894736844,0,-0.17081129974443593,0.0104711728192878,-0.0017885946391111586,0.17081129974443593
2016-12-31,dax,1.0,0.45263157894736844,0,-0.5001694085398344,0.0026010840580359,-0.0013009826748702083,0.5001694085398344
2016-12-31,sx5e,1.0,0.45263157894736844,0,-0.2212373003201629,0.0009544829081318,-0.0002111672217968175,0.2212373003201629
2017-01-07,spx,0.0,0.5855072463768118,1,0.0,-0.0014639679245945,-0.0,0.4497021297474163
2017-01-07,ndx,1.0,0.5855072463768118,1,0.0,0.0007293196376723,0.0,0.17081129974443593
2017-01-07,dax,1.0,0.5855072463768118,1,0.0,8.169105646294028e-05,0.0,0.5001694085398344
2017-01-07,sx5e,0.0,0.5855072463768118,1,0.0,-0.0074902085827562,-0.0,0.2212373003201629
2017-01-14,spx,1.0,0.5857418111753371,1,0.0,0.0102936191008713,0.0,0.0
2017-01-14,ndx,1.0,0.5857418111753371,1,0.0,0.0207102227840101,0.0,0.0
2017-01-14,dax,1.0,0.5857418111753371,1,0.0,0.0158330130445663,0.0,0.0
2017-01-14,sx5e,1.0,0.5857418111753371,1,0.0,0.0011789879494701,0.0,0.0
2017-01-21,spx,1.0,0.5628517823639775,0,0.0,0.0011897031843082,0.0,0.0
2017-01-21,ndx,0.0,0.5879541108986615,1,0.0,-0.0012499854877845,-0.0,0.0
2017-01-21,dax,0.0,0.5879541108986615,1,0.0,-0.0137782529094053,-0.0,0.0
2017-01-21,sx5e,0.0,0.5879541108986615,1,0.0,-0.0091483442465633,-0.0,0.0
2017-01-28,spx,1.0,0.5518394648829432,0,0.0,0.0081308598340745,0.0,0.0
2017-01-28,ndx,1.0,0.58592132505176,1,0.0,0.0126104308741474,0.0,0.0
2017-01-28,dax,1.0,0.58592132505176,1,0.0,0.00132858544272,0.0,0.0
2017-01-28,sx5e,0.0,0.5518394648829432,1,0.0,-0.0006965852048969,-0.0,0.0
2017-02-04,spx,1.0,0.5523648648648649,0,0.0,0.0151375156513102,0.0,0.0
2017-02-04,ndx,1.0,0.5523648648648649,0,0.0,0.018755656065311,0.0,0.0
2017-02-04,dax,1.0,0.5523648648648649,0,0.0,0.007718370750932,0.0,0.0
2017-02-04,sx5e,1.0,0.589622641509434,1,0.0,0.0116117315788346,0.0,0.0
2017-02-11,spx,1.0,0.5860889395667047,1,0.0,0.0068817094540567,0.0,0.0
2017-02-11,ndx,1.0,0.5860889395667047,1,0.0,0.0034912633903754,0.0,0.0
2017-02-11,dax,1.0,0.5860889395667047,1,0.0,0.0039984621953521,0.0,0.0
2017-02-11,sx5e,0.0,0.5860889395667047,1,0.0,-0.0014264947216672,-0.0,0.0
2017-02-18,spx,1.0,0.5860805860805861,1,0.0,0.0066657091925959,0.0,0.0
2017-02-18,ndx,1.0,0.5860805860805861,1,0.0,0.0056463128659949,0.0,0.0
2017-02-18,dax,1.0,0.5860805860805861,1,0.0,0.0189198095904534,0.0,0.0
2017-02-18,sx5e,1.0,0.5860805860805861,1,0.0,0.0300536607658992,0.0,0.0
2017-02-25,spx,0.0,0.5895061728395061,1,0.0,-0.0044143811474034,-0.0,0.0
2017-02-25,ndx,1.0,0.5895061728395061,1,0.0,0.0023113513030661,0.0,0.0
2017-02-25,dax,0.0,0.6272727272727273,1,0.25704539674710075,-0.0053361668728632,-0.001371637130943857,0.25704539674710075
2017-02-25,sx5e,1.0,0.5895061728395061,1,0.0,0.0037844619629252,0.0,0.0
2017-03-04,spx,1.0,0.5859213250517601,1,0.0,0.0023813537890922,0.0,0.0
2017-03-04,ndx,1.0,0.5859213250517601,1,0.0,0.0042444159750461,0.0,0.0
